Delhi metro fare : 1st query,Prerna,Ojasvi,Urvi,Himanshu,Final Relevance,,Prerna ,Ojasvi ,Urvi,Himanshu,Final Rank 
https://play.google.com/store/apps/details%3Fid%3Duk.co.mxdata.delhimetro%26hl%3Den&sa=U&ved=0ahUKEwiEoaDBwOLZAhUZTI8KHScvBcIQFgg6MAk&usg=AOvVaw0jQA4juQG4yykL9VlBF0p9,0,0,1,0,0,,7,5,9,6,6
https://play.google.com/store/apps/details?id=dehli.subway.map&hl=en,0,0,0,0,0,,8,4,8,8,8
https://play.google.com/store/apps/details%3Fid%3Dcom.sraoss.dmrc%26hl%3Den&sa=U&ved=0ahUKEwjY0Mrj0OPZAhUGoZQKHRjnDTEQFghNMAw&usg=AOvVaw1IDqKhz9GHq9zAN68sxiz_,1,0,0,0,0,,6,3,10,4,7
https://en.wikipedia.org/wiki/Delhi_Metro,0,0,0,1,0,,9,2,6,9,9
,,,,,,,,,,,
Ranking Annotation,,,,,,,,,,,
,,,,,,,,,,,
"1,2",0,0,0,0,0,,,,,,
"1,3",0,0,0,0,0,,,,,,
"1,4",1,1,1,1,1,,,,,,
"1,5",1,1,1,1,1,,,,,,
"1,6",1,1,1,1,1,,,,,,
"1,7",1,1,1,1,1,,,,,,
"1,8",1,1,1,1,1,,,,,,
"1,9",1,1,1,1,1,,,,,,
"1,10",1,1,1,1,1,,,,,,
"2,3",0,0,0,0,0,,,,,,
"2,4",1,1,1,1,1,,,,,,
"2,5",1,1,1,1,1,,,,,,
"2,6",1,1,1,1,1,,,,,,
"2,7",1,1,1,1,1,,,,,,
"2,8",1,1,1,1,1,,,,,,
"2,9",1,1,1,1,1,,,,,,
"2,10",1,1,1,1,1,,,,,,
"3,4",1,1,1,1,1,,,,,,
"3,5",1,1,1,1,1,,,,,,
"3,6",1,1,1,1,1,,,,,,
"3,7",1,1,1,1,1,,,,,,
"3,8",1,1,1,1,1,,,,,,
"3,9",1,1,1,1,1,,,,,,
"3,10",1,1,1,1,1,,,,,,
"4,5",1,1,1,1,1,,,,,,
"4,6",1,1,1,1,1,,,,,,
"4,7",1,1,1,1,1,,,,,,
"4,8",1,1,1,1,1,,,,,,
"4,9",1,1,1,1,1,,,,,,
"4,10",1,1,1,1,1,,,,,,
"5,6",1,1,1,1,1,,,,,,
"5,7",1,1,1,1,1,,,,,,
"5,8",1,1,1,1,1,,,,,,
"5,9",1,1,1,1,1,,,,,,
"5,10",1,1,1,1,1,,,,,,
"6,7",1,1,1,1,1,,,,,,
"6,8",1,1,1,1,1,,,,,,
"6,9",1,1,1,1,1,,,,,,
"6,10",0,0,0,0,0,,,,,,
"7,8",0,0,0,0,0,,,,,,
"7,9",1,1,1,1,1,,,,,,
"7,10",0,0,0,0,0,,,,,,
"8,9",1,1,1,1,1,,,,,,
"8,10",0,0,0,0,0,,,,,,
"9,10",0,0,0,0,0,,,,,,
,,,,,,,,,,,
airport line metro timing : 3rd query,,,,,,,,,,,
,,,,,,,,,,,
https://en.wikipedia.org/wiki/Delhi_Airport_Metro_Express,0,0,0,1,0,,5,10,4,4,4
http://www.thehindu.com/news/cities/Delhi/delhi-metro-airport-express-service-to-start-early-end-late/article4973445.ece,0,0,1,0,0,,4,5,6,5,5
http://www.delhicapital.com/delhi-metro/airport-express-line.html,1,1,0,1,1,,6,9,5,6,6
http://www.delhimetrorail.com/Airport-Express-Line.aspx,0,1,1,1,1,,3,8,2,3,3
http://www.delhimetrotimes.in/delhi-metro-airport-express-line.html,1,1,1,1,1,,9,7,9,9,9
https://www.quora.com/Delhi-Metro-How-much-time-does-the-airport-line-take-to-reach-New-Delhi-station-from-IGI-T3,1,1,1,1,1,,1,1,1,1,1
http://www.imdb.com/title/tt0065377/,0,0,0,0,0,,2,6,3,2,2
https://en.wikipedia.org/wiki/List_of_airports_in_Uttar_Pradesh,1,0,0,0,0,,7,5,10,8,10
http://www.baidu.com/link?url=j5P14vgZV6qI1tAAvI4SdtpO_aX4n4r0BgbdDLrfojN5xIzKLMEjX93QRW0iTwPbYfNoFcZOQx8UlotAj3I8KYUUbJ7xowvSB0NMvCbdsL_,1,1,1,0,1,,8,4,7,10,8
https://images.search.yahoo.com/search/images?p=airport,0,0,0,0,0,,10,3,8,7,7
,,,,,,,,,,,
Ranking Annotation,,,,,,,,,,,
,,,,,,,,,,,
"1,2",1,1,1,1,1,,,,,,
"1,3",0,0,0,0,0,,,,,,
"1,4",0,0,0,0,0,,,,,,
"1,5",0,0,0,0,0,,,,,,
"1,6",0,0,0,0,0,,,,,,
"1,7",1,1,1,1,1,,,,,,
"1,8",1,1,1,1,1,,,,,,
"1,9",0,0,0,0,0,,,,,,
"1,10",1,1,1,1,1,,,,,,
"2,3",0,0,0,0,0,,,,,,
"2,4",0,0,0,0,0,,,,,,
"2,5",0,0,0,0,0,,,,,,
"2,6",0,0,0,0,0,,,,,,
"2,7",1,1,1,1,1,,,,,,
"2,8",1,1,1,1,1,,,,,,
"2,9",0,0,0,0,0,,,,,,
"2,10",1,1,1,1,1,,,,,,
"3,4",0,0,0,0,0,,,,,,
"3,5",0,0,0,0,0,,,,,,
"3,6",0,0,0,0,0,,,,,,
"3,7",1,1,1,1,1,,,,,,
"3,8",1,1,1,1,1,,,,,,
"3,9",1,1,1,1,1,,,,,,
"3,10",1,1,1,1,1,,,,,,
"4,5",1,1,1,1,1,,,,,,
"4,6",1,1,1,1,1,,,,,,
"4,7",1,1,1,1,1,,,,,,
"4,8",1,1,1,1,1,,,,,,
"4,9",1,1,1,1,1,,,,,,
"4,10",1,1,1,1,1,,,,,,
"5,6",1,1,1,1,1,,,,,,
"5,7",1,1,1,1,1,,,,,,
"5,8",1,1,1,1,1,,,,,,
"5,9",1,1,1,1,1,,,,,,
"5,10",1,1,1,1,1,,,,,,
"6,7",1,1,1,1,1,,,,,,
"6,8",1,1,1,1,1,,,,,,
"6,9",1,1,1,1,1,,,,,,
"6,10",1,1,1,1,1,,,,,,
"7,8",0,0,0,0,0,,,,,,
"7,9",0,0,0,0,0,,,,,,
"7,10",0,0,0,0,0,,,,,,
"8,9",0,0,0,0,0,,,,,,
"8,10",0,0,0,0,0,,,,,,
"9,10",1,1,1,1,1,,,,,,
,,,,,,,,,,,
timing of last metro : 4th query,,,,,,,,,,,
,,,,,,,,,,,
http://www.delhimetrorail.com/metro_timing.aspx,1,1,1,1,1,,2,10,1,2,2
http://www.delhimetrorail.com/OtherDocuments/last-train-details.pdf,0,1,1,1,1,,5,9,7,6,6
http://www.delhimetrotimes.in/metro-timings.html,1,1,0,1,1,,4,8,3,3,3
http://www.delhicapital.com/delhi-metro/metro-train-timings.html,1,1,1,1,1,,3,4,7,4,4
http://www.kolkatametrorail.com/time-table-metro-train,1,1,1,1,1,,1,6,2,1,1
https://delhimetrorail.info/delhi-metro-last-train-time,1,1,1,1,1,,6,5,5,7,5
http://www.thesaurus.com/browse/timing,0,0,0,0,0,,7,4,6,5,7
https://www.merriam-webster.com/dictionary/timing,0,0,0,0,0,,8,5,9,8,8
https://play.google.com/store/apps/details%3Fid%3Dcom.sraoss.dmrc%26hl%3Den&sa=U&ved=0ahUKEwi35IrjzOLZAhXIRo8KHfcfD1gQFghUMAs&usg=AOvVaw37_PTo1dXlV2UBSjCPLZja,0,0,0,1,0,,9,4,8,9,9
https://play.google.com/store/apps/details%3Fid%3Dcom.delhimetrotimings%26hl%3Den&sa=U&ved=0ahUKEwi35IrjzOLZAhXIRo8KHfcfD1gQFghbMAw&usg=AOvVaw01eUwPw_RdysUdooTjISXz,1,0,0,0,0,,10,3,10,10,10
,,,,,,,,,,,
Ranking Annotation,,,,,,,,,,,
,,,,,,,,,,,
"1,2",0,0,0,0,0,,,,,,
"1,3",0,0,0,0,0,,,,,,
"1,4",0,0,0,0,0,,,,,,
"1,5",1,1,1,1,1,,,,,,
"1,6",0,0,0,0,0,,,,,,
"1,7",1,1,1,1,1,,,,,,
"1,8",1,1,1,1,1,,,,,,
"1,9",1,1,1,1,1,,,,,,
"1,10",1,1,1,1,1,,,,,,
"2,3",1,1,1,1,1,,,,,,
"2,4",1,1,1,1,1,,,,,,
"2,5",1,1,1,1,1,,,,,,
"2,6",1,1,1,1,1,,,,,,
"2,7",1,1,1,1,1,,,,,,
"2,8",1,1,1,1,1,,,,,,
"2,9",1,1,1,1,1,,,,,,
"2,10",1,1,1,1,1,,,,,,
"3,4",1,1,1,1,1,,,,,,
"3,5",1,1,1,1,1,,,,,,
"3,6",0,0,0,0,0,,,,,,
"3,7",1,1,1,1,1,,,,,,
"3,8",1,1,1,1,1,,,,,,
"3,9",1,1,1,1,1,,,,,,
"3,10",1,1,1,1,1,,,,,,
"4,5",1,1,1,1,1,,,,,,
"4,6",0,0,0,0,0,,,,,,
"4,7",1,1,1,1,1,,,,,,
"4,8",1,1,1,1,1,,,,,,
"4,9",1,1,1,1,1,,,,,,
"4,10",1,1,1,1,1,,,,,,
"5,6",0,0,0,0,0,,,,,,
"5,7",1,1,1,1,1,,,,,,
"5,8",1,1,1,1,1,,,,,,
"5,9",1,1,1,1,1,,,,,,
"5,10",1,1,1,1,1,,,,,,
"6,7",1,1,1,1,1,,,,,,
"6,8",1,1,1,1,1,,,,,,
"6,9",1,1,1,1,1,,,,,,
"6,10",1,1,1,1,1,,,,,,
"7,8",1,1,1,1,1,,,,,,
"7,9",1,1,1,1,1,,,,,,
"7,10",1,1,1,1,1,,,,,,
"8,9",1,1,1,1,1,,,,,,
"8,10",1,1,1,1,1,,,,,,
"9,10",1,1,1,1,1,,,,,,
,,,,,,,,,,,
lost and found in dmrc :5th query,,,,,,,,,,,
,,,,,,,,,,,
http://www.dailymail.co.uk/indiahome/indianews/article-2362274/Delhi-Metro-launches-helpline-trace-lost-property.html,1,0,0,0,0,,2,10,3,3,3
http://www.thehindubusinessline.com/economy/logistics/delhi-metro-launches-online-lost-and-found-service/article3816183.ece,1,1,1,1,1,,3,9,2,6,2
http://www.delhimetrorail.com/lost_found.aspx,1,1,0,1,1,,5,8,6,2,6
http://www.delhimetrotimes.in/search/lost-and-found,1,0,0,0,0,,7,7,7,7,7
https://www.metrorailnews.in/delhi-metrodmrc-auctions-lost-found-items/,0,0,0,1,0,,6,6,4,5,5
https://delhimetrorail.info/delhi-metro-lost-and-found,1,1,1,1,1,,1,5,1,4,1
http://www.metroeasy.com/delhi-metro/delhi-metro-fares-timings-faq/delhi-metro-lost,1,1,1,0,1,,4,4,5,1,4
https://en.wikipedia.org/wiki/Lost_(TV_series),0,0,0,0,0,,8,3,9,8,8
http://lostpedia.wikia.com/wiki/Lost,0,0,0,0,0,,9,2,8,10,9
http://www.imdb.com/title/tt0411008/,0,0,0,1,0,,10,1,10,9,10
,,,,,,,,,,,
Ranking Annotation,,,,,,,,,,,
,,,,,,,,,,,
"1,2",0,0,0,0,0,,,,,,
"1,3",0,0,0,0,0,,,,,,
"1,4",1,1,1,1,1,,,,,,
"1,5",0,0,0,0,0,,,,,,
"1,6",0,0,0,0,0,,,,,,
"1,7",0,0,0,0,0,,,,,,
"1,8",1,1,1,1,1,,,,,,
"1,9",1,1,1,1,1,,,,,,
"1,10",1,1,1,1,1,,,,,,
"2,3",0,0,0,0,0,,,,,,
"2,4",1,1,1,1,1,,,,,,
"2,5",1,1,1,1,1,,,,,,
"2,6",1,1,1,1,1,,,,,,
"2,7",1,1,1,1,1,,,,,,
"2,8",1,1,1,1,1,,,,,,
"2,9",1,1,1,1,1,,,,,,
"2,10",1,1,1,1,1,,,,,,
"3,4",1,1,1,1,1,,,,,,
"3,5",1,1,1,1,1,,,,,,
"3,6",1,1,1,1,1,,,,,,
"3,7",1,1,1,1,1,,,,,,
"3,8",1,1,1,1,1,,,,,,
"3,9",1,1,1,1,1,,,,,,
"3,10",1,1,1,1,1,,,,,,
"4,5",0,0,0,0,0,,,,,,
"4,6",0,0,0,0,0,,,,,,
"4,7",0,0,0,0,0,,,,,,
"4,8",1,1,1,1,1,,,,,,
"4,9",1,1,1,1,1,,,,,,
"4,10",1,1,1,1,1,,,,,,
"5,6",0,0,0,0,0,,,,,,
"5,7",0,0,0,0,0,,,,,,
"5,8",1,1,1,1,1,,,,,,
"5,9",1,1,1,1,1,,,,,,
"5,10",1,1,1,1,1,,,,,,
"6,7",1,1,1,1,1,,,,,,
"6,8",1,1,1,1,1,,,,,,
"6,9",1,1,1,1,1,,,,,,
"6,10",1,1,1,1,1,,,,,,
"7,8",1,1,1,1,1,,,,,,
"7,9",1,1,1,1,1,,,,,,
"7,10",1,1,1,1,1,,,,,,
"8,9",1,1,1,1,1,,,,,,
"8,10",1,1,1,1,1,,,,,,
"9,10",1,1,1,1,1,,,,,,
,,,,,,,,,,,
Helpline number of Delhi Metro : 6th query,,,,,,,,,,,
,,,,,,,,,,,
http://www.customersupportnumber.in/railways/delhi-metro-customer-care-number.html,1,1,1,1,1,,3,10,4,3,3
http://customercaresupportinfo.in/delhi-metro-dmrc-customer-care-complaint-number-toll-free-office-address.html,1,1,1,1,1,,4,9,3,4,4
http://customerkarts.com/delhi-metro-customer-care-number/,0,1,1,0,1,,5,8,8,5,5
http://www.delhimetrorail.com/contact_us.aspx,1,1,1,1,1,,8,7,5,10,8
https://www.customercaretollfreenumber.com/delhi-metro/,1,1,1,1,1,,7,6,7,6,7
https://www.dmrcsmartcard.com/ContactUs.aspx,1,1,0,1,1,,6,5,6,7,6
http://customer-carenumber.com/travel/delhi-metro-customer-care/,1,1,1,1,1,,2,4,1,2,2
https://customercare.tollfree-number.org/2015/03/dmrc-metro-station-numbers-delhi-metro.html,1,1,1,0,1,,1,3,2,1,1
http://www.baidu.com/link?url=qgSXAbiRlzuT71ufk0_Yqww7KchCPNVPQ1GlK_fMkoi3XjFamz82k2FLQnB-FdgrkrhFi-JvOvBcxU4gG9kijK,0,0,0,0,0,,10,2,9,9,9
http://www.baidu.com/link?url=ID-GpOK7pY7Xmi1dJ8nGjyxFTmTyXaI5CRH4N8AgkL4qeTN2m6F7jom04W3tiMVx,1,0,0,0,0,,9,1,10,8,10
,,,,,,,,,,,
Ranking Annotation,,,,,,,,,,,
,,,,,,,,,,,
"1,2",0,0,0,0,0,,,,,,
"1,3",0,0,0,0,0,,,,,,
"1,4",0,0,0,0,0,,,,,,
"1,5",0,0,0,0,0,,,,,,
"1,6",0,0,0,0,0,,,,,,
"1,7",0,0,0,0,0,,,,,,
"1,8",0,0,0,0,0,,,,,,
"1,9",1,1,1,1,1,,,,,,
"1,10",1,1,1,1,1,,,,,,
"2,3",0,0,0,0,0,,,,,,
"2,4",0,0,0,0,0,,,,,,
"2,5",0,0,0,0,0,,,,,,
"2,6",0,0,0,0,0,,,,,,
"2,7",0,0,0,0,0,,,,,,
"2,8",0,0,0,0,0,,,,,,
"2,9",1,1,1,1,1,,,,,,
"2,10",1,1,1,1,1,,,,,,
"3,4",1,1,1,1,1,,,,,,
"3,5",1,1,1,1,1,,,,,,
"3,6",1,1,1,1,1,,,,,,
"3,7",1,1,1,1,1,,,,,,
"3,8",1,1,1,1,1,,,,,,
"3,9",1,1,1,1,1,,,,,,
"3,10",1,1,1,1,1,,,,,,
"4,5",1,1,1,1,1,,,,,,
"4,6",1,1,1,1,1,,,,,,
"4,7",1,1,1,1,1,,,,,,
"4,8",1,1,1,1,1,,,,,,
"4,9",1,1,1,1,1,,,,,,
"4,10",1,1,1,1,1,,,,,,
"5,6",1,1,1,1,1,,,,,,
"5,7",1,1,1,1,1,,,,,,
"5,8",1,1,1,1,1,,,,,,
"5,9",1,1,1,1,1,,,,,,
"5,10",1,1,1,1,1,,,,,,
"6,7",0,0,0,0,0,,,,,,
"6,8",0,0,0,0,0,,,,,,
"6,9",1,1,1,1,1,,,,,,
"6,10",1,1,1,1,1,,,,,,
"7,8",0,0,0,0,0,,,,,,
"7,9",1,1,1,1,1,,,,,,
"7,10",1,1,1,1,1,,,,,,
"8,9",1,1,1,1,1,,,,,,
"8,10",1,1,1,1,1,,,,,,
"9,10",1,1,1,1,1,,,,,,
,,,,,,,,,,,
smart card online recharge :7th query,,,,,,,,,,,
,,,,,,,,,,,
https://paytm.com/metro-card-recharge,1,1,1,0,1,,4,10,3,5,5
https://www.icicibank.com/infosys-smart-city-card/index.page,1,1,1,1,1,,1,9,2,1,1
https://timesalert.com/hyderabad-metro-smart-card/25588/,0,0,0,0,0,,8,8,7,7,7
https://www.mumbai77.com/city/2900/travel/smart-card-recharge/,0,0,0,0,0,,7,7,9,10,8
https://dmrcsmartcard.com/,1,1,1,1,1,,2,2,1,2,2
https://www.quora.com/How-do-I-recharge-Indian-Railways-Smart-Card-for-ATVM-Automatic-Ticket-Vending-Machine,1,1,1,1,1,,6,6,6,6,6
https://paytm.com/metro-card-recharge/delhi-metro&sa=U&ved=0ahUKEwiW77KgzePZAhXFoJQKHUhbDycQFggqMAM&usg=AOvVaw3acWyxIoae9V0W1499f9e2,1,1,1,1,1,,3,5,5,3,3
https://paytm.com/metro-card-recharge&sa=U&ved=0ahUKEwiW77KgzePZAhXFoJQKHUhbDycQFggkMAI&usg=AOvVaw2TEawsVsYPJEeoMvQp8062,1,1,1,0,1,,5,4,4,4,4
http://www.baidu.com/link?url=GxuAJ4KltN8DyW46ef8_nngA0eC1h7B0N_iGiUwQLoP_ox3GHn5vpXi-Pd6qMv3wlF4utqNO4EuOXIVTQAWWL_,0,0,1,0,0,,10,3,8,9,9
http://www.baidu.com/link?url=MHqz4frdFzur7wGjrWjpBbq7BwDX9o7duV4iuYfFADeiTR945JbIEffnOdA1D9g6xTLEoE7C2axFtoHSiaxF8iLrcwZ4wfnJ1xwilKDnxzns9uod3HgmBk1s69nE6tay,1,0,0,0,0,,9,10,10,8,10
,,,,,,,,,,,
Ranking Annotation,,,,,,,,,,,
,,,,,,,,,,,
"1,2",1,1,1,1,1,,,,,,
"1,3",1,1,1,1,1,,,,,,
"1,4",1,1,1,1,1,,,,,,
"1,5",0,0,0,0,0,,,,,,
"1,6",1,1,1,1,1,,,,,,
"1,7",1,1,1,1,1,,,,,,
"1,8",1,1,1,1,1,,,,,,
"1,9",1,1,1,1,1,,,,,,
"1,10",1,1,1,1,1,,,,,,
"2,3",1,1,1,1,1,,,,,,
"2,4",1,1,1,1,1,,,,,,
"2,5",0,0,0,0,0,,,,,,
"2,6",1,1,1,1,1,,,,,,
"2,7",0,0,0,0,0,,,,,,
"2,8",0,0,0,0,0,,,,,,
"2,9",1,1,1,1,1,,,,,,
"2,10",1,1,1,1,1,,,,,,
"3,4",1,1,1,1,1,,,,,,
"3,5",0,0,0,0,0,,,,,,
"3,6",0,0,0,0,0,,,,,,
"3,7",0,0,0,0,0,,,,,,
"3,8",0,0,0,0,0,,,,,,
"3,9",1,1,1,1,1,,,,,,
"3,10",1,1,1,1,1,,,,,,
"4,5",0,0,0,0,0,,,,,,
"4,6",0,0,0,0,0,,,,,,
"4,7",0,0,0,0,0,,,,,,
"4,8",0,0,0,0,0,,,,,,
"4,9",1,1,1,1,1,,,,,,
"4,10",1,1,1,1,1,,,,,,
"5,6",1,1,1,1,1,,,,,,
"5,7",1,1,1,1,1,,,,,,
"5,8",1,1,1,1,1,,,,,,
"5,9",1,1,1,1,1,,,,,,
"5,10",1,1,1,1,1,,,,,,
"6,7",0,0,0,0,0,,,,,,
"6,8",0,0,0,0,0,,,,,,
"6,9",1,1,1,1,1,,,,,,
"6,10",1,1,1,1,1,,,,,,
"7,8",1,1,1,1,1,,,,,,
"7,9",1,1,1,1,1,,,,,,
"7,10",1,1,1,1,1,,,,,,
"8,9",1,1,1,1,1,,,,,,
"8,10",1,1,1,1,1,,,,,,
"9,10",1,1,1,1,1,,,,,,
,,,,,,,,,,,
Is metro closed today : 8th query,,,,,,,,,,,
,,,,,,,,,,,
https://www.ndtv.com/topic/metro-stations-closed,1,1,1,0,1,,1,10,1,1,1
http://www.thehindu.com/news/cities/Delhi/4-metro-stations-to-remain-closed-today/article4732286.ece#!,1,1,0,1,1,,2,9,2,2,2
https://www.wmata.com/service/status/,0,0,0,0,0,,3,8,4,4,4
https://www.ndtv.com/delhi-news/delhi-four-metro-stations-to-remain-closed-today-548339,1,1,1,1,1,,4,7,3,3,3
http://www.baidu.com/link?url=oJqJ6tkwqQmg_2Txj0zR7gd62dKBVbhvfHYw-AVuXbyf7Tia8kEjbPFahQlXv5mUzv3hvwYSXL7DfM1uKTqfruL7KNXrCbyOIJhokdsjAyY72-vE4CtCty7H1xmZiYoc,0,0,0,0,0,,5,6,5,6,5
https://www.washingtonpost.com/graphics/local/metro-closures/,0,0,1,0,0,,6,5,6,5,6
https://www.nytimes.com/2016/03/16/us/washington-dc-metro-to-close-all-day-wednesday.html,0,0,0,0,0,,7,4,9,7,7
https://en.wiktionary.org/wiki/is,1,0,0,0,0,,8,3,7,8,8
https://www.usatoday.com/story/news/nation/2016/03/15/reports-washington-dc-metro-close-24-hours-inspection/81823344/,0,0,0,0,0,,9,2,8,10,9
http://www.baidu.com/link?url=HF9DCPrXMlATmOOLil2UYpMY0FZB4jzTlryOWGewDbEFsffXL-Gf-lLV5umDttM7EaPVWkvlhfUPf-tad-1QE9jNPcKQBmjqfTHr2N889xdL4LgVzIgqzdnIAD9brrroguqp0bTd68CojB5v-zIrlnVYbko4hAtwEBj_bBYz2NUBwIoqL7uPqaGZ9B34x3NtktijuRodzl85TH51N46Nhq,0,0,0,0,0,,10,1,10,9,10
,,,,,,,,,,,
Ranking Annotation,,,,,,,,,,,
,,,,,,,,,,,
"1,2",1,1,1,1,1,,,,,,
"1,3",1,1,1,1,1,,,,,,
"1,4",1,1,1,1,1,,,,,,
"1,5",1,1,1,1,1,,,,,,
"1,6",1,1,1,1,1,,,,,,
"1,7",1,1,1,1,1,,,,,,
"1,8",1,1,1,1,1,,,,,,
"1,9",1,1,1,1,1,,,,,,
"1,10",1,1,1,1,1,,,,,,
"2,3",1,1,1,1,1,,,,,,
"2,4",1,1,1,1,1,,,,,,
"2,5",1,1,1,1,1,,,,,,
"2,6",1,1,1,1,1,,,,,,
"2,7",1,1,1,1,1,,,,,,
"2,8",1,1,1,1,1,,,,,,
"2,9",1,1,1,1,1,,,,,,
"2,10",1,1,1,1,1,,,,,,
"3,4",0,0,0,0,0,,,,,,
"3,5",1,1,1,1,1,,,,,,
"3,6",1,1,1,1,1,,,,,,
"3,7",1,1,1,1,1,,,,,,
"3,8",1,1,1,1,1,,,,,,
"3,9",1,1,1,1,1,,,,,,
"3,10",1,1,1,1,1,,,,,,
"4,5",1,1,1,1,1,,,,,,
"4,6",1,1,1,1,1,,,,,,
"4,7",1,1,1,1,1,,,,,,
"4,8",1,1,1,1,1,,,,,,
"4,9",1,1,1,1,1,,,,,,
"4,10",1,1,1,1,1,,,,,,
"5,6",1,1,1,1,1,,,,,,
"5,7",1,1,1,1,1,,,,,,
"5,8",1,1,1,1,1,,,,,,
"5,9",1,1,1,1,1,,,,,,
"5,10",1,1,1,1,1,,,,,,
"6,7",1,1,1,1,1,,,,,,
"6,8",1,1,1,1,1,,,,,,
"6,9",1,1,1,1,1,,,,,,
"6,10",1,1,1,1,1,,,,,,
"7,8",1,1,1,1,1,,,,,,
"7,9",1,1,1,1,1,,,,,,
"7,10",1,1,1,1,1,,,,,,
"8,9",1,1,1,1,1,,,,,,
